Title,Core Ability
Giám đốc điều hành,"Hiểu ngôn ngữ Diễn đạt (4.62), Diễn đạt bằng lời (4.5), Đọc hiểu văn bản (4.25), Phát âm rõ ràng (4.25), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Diễn đạt bằng văn bản (4.12), Nhận diện giọng Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (4.0), Lưu loát ý tưởng (3.88), Sự sáng tạo/Tính nguyên bản (3.75), Tầm nhìn gần (3.62), Linh hoạt phân loại (3.5)"
Người quản lý quảng cáo và khuyến mãi,"Diễn đạt bằng lời (4.25), Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Phát âm rõ ràng (4.0), Nhận diện giọng Diễn đạt (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Diễn đạt bằng văn bản (3.88), Lưu loát ý tưởng (3.75), Sự sáng tạo/Tính nguyên bản (3.75), Tầm nhìn gần (3.75), Nhạy bén với vấn đề (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5)"
Giám đốc tiếp thị,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Diễn đạt bằng văn bản (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Phát âm rõ ràng (3.75), Lưu loát ý tưởng (3.75), Nhạy bén với vấn đề (3.62), Nhận diện giọng Diễn đạt (3.62), Sự sáng tạo/Tính nguyên bản (3.62), Tầm nhìn gần (3.5)"
Người quản lý dịch vụ hành chính,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62), Phát âm rõ ràng (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Nhạy bén với vấn đề (3.5)"
Quản lý cơ sở vật chất,"Hiểu ngôn ngữ Diễn đạt (3.75), Đọc hiểu văn bản (3.75), Diễn đạt bằng lời (3.75), Nhạy bén với vấn đề (3.75), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng văn bản (3.62), Nhận diện giọng Diễn đạt (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Tầm nhìn gần (3.5), Phát âm rõ ràng (3.5)"
Người quản lý hệ thống thông tin và máy tính,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng văn bản (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.62)"
Người quản lý tài chính,"Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Đọc hiểu văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Phát âm rõ ràng (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Nhạy bén với vấn đề (3.88), Diễn đạt bằng văn bản (3.88), Tầm nhìn gần (3.75), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Suy luận toán học (3.5), Nhanh nhạy với con số (3.5)"
Quản lý chuỗi cung ứng,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Đọc hiểu văn bản (4.0), Khả năng sắp xếp thông tin (3.88), Nhạy bén với vấn đề (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Linh hoạt phân loại (3.75), Phát âm rõ ràng (3.75), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62)"
Quản lý nhân sự,"Diễn đạt bằng lời (4.5), Hiểu ngôn ngữ Diễn đạt (4.38), Đọc hiểu văn bản (4.38), Phát âm rõ ràng (4.12), Diễn đạt bằng văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Nhận diện giọng Diễn đạt (4.0), Tầm nhìn gần (4.0), Nhạy bén với vấn đề (3.88), Lưu loát ý tưởng (3.75), Sự sáng tạo/Tính nguyên bản (3.75), Khả năng sắp xếp thông tin (3.62), Tập trung có chọn lọc (3.5)"
Quản lý xây dựng,"Nhạy bén với vấn đề (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Khả năng sắp xếp thông tin (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Tầm nhìn gần (3.88), Khả năng hình dung (3.88), Phát âm rõ ràng (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Diễn đạt bằng văn bản (3.88), Linh hoạt phân loại (3.75), Nhận diện giọng Diễn đạt (3.75), Linh hoạt nhận dạng (3.62), Tầm nhìn xa (3.62), Suy luận toán học (3.5)"
Cán bộ quản lý giáo dục từ mẫu giáo đến trung học,"Diễn đạt bằng lời (4.88), Hiểu ngôn ngữ Diễn đạt (4.75), Đọc hiểu văn bản (4.75), Phát âm rõ ràng (4.62), Suy luận diễn dịch (Logic từ chung đến riêng) (4.5), Diễn đạt bằng văn bản (4.38), Nhạy bén với vấn đề (4.25), Nhận diện giọng Diễn đạt (4.25), Suy luận quy nạp (Logic từ riêng đến chung) (4.12), Lưu loát ý tưởng (4.0), Khả năng sắp xếp thông tin (4.0), Linh hoạt phân loại (3.88), Tầm nhìn gần (3.88), Sự sáng tạo/Tính nguyên bản (3.88)"
Quản lý kiến trúc và kỹ thuật,"Đọc hiểu văn bản (4.25), Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Phát âm rõ ràng (4.0), Nhạy bén với vấn đề (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Suy luận toán học (3.88), Diễn đạt bằng văn bản (3.88), Lưu loát ý tưởng (3.75), Khả năng hình dung (3.75), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Tầm nhìn gần (3.75), Sự sáng tạo/Tính nguyên bản (3.62)"
Quản lý khách sạn,"Diễn đạt bằng lời (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Nhận diện giọng Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Phát âm rõ ràng (4.0), Diễn đạt bằng văn bản (4.0), Khả năng sắp xếp thông tin (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Lưu loát ý tưởng (3.62)"
Người quản lý bưu điện và giám đốc thư,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.88), Nhạy bén với vấn đề (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Khả năng sắp xếp thông tin (3.62), Tầm nhìn gần (3.62), Linh hoạt phân loại (3.5), Diễn đạt bằng văn bản (3.5)"
Điều tra viên,"Hiểu ngôn ngữ Diễn đạt (4.12), Đọc hiểu văn bản (4.12), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Tầm nhìn gần (3.88), Nhạy bén với vấn đề (3.88), Khả năng sắp xếp thông tin (3.88), Linh hoạt nhận dạng (3.75), Linh hoạt phân loại (3.62), Nhận diện giọng Diễn đạt (3.5), Phát âm rõ ràng (3.5)"
Người ước tính chi phí,"Suy luận quy nạp (Logic từ riêng đến chung) (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Suy luận toán học (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (3.88), Nhanh nhạy với con số (3.88), Diễn đạt bằng văn bản (3.75), Tầm nhìn gần (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Khả năng sắp xếp thông tin (3.62), Phát âm rõ ràng (3.5)"
Kỹ sư Logistic,"Suy luận toán học (4.12), Đọc hiểu văn bản (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Lưu loát ý tưởng (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (4.0), Tầm nhìn gần (3.88), Phát âm rõ ràng (3.88), Sự sáng tạo/Tính nguyên bản (3.88), Nhanh nhạy với con số (3.75), Nhận diện giọng Diễn đạt (3.62), Linh hoạt phân loại (3.62)"
Tìm kiếm nhà chiến lược tiếp thị,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Lưu loát ý tưởng (3.88), Nhạy bén với vấn đề (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Phát âm rõ ràng (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Linh hoạt phân loại (3.5)"
Kế toán viên và kiểm toán viên,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (3.88), Đọc hiểu văn bản (3.88), Diễn đạt bằng văn bản (3.75), Tầm nhìn gần (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Khả năng sắp xếp thông tin (3.62)"
Thẩm định viên tài sản cá nhân và doanh nghiệp,"Hiểu ngôn ngữ Diễn đạt (4.0), Tầm nhìn gần (4.0), Diễn đạt bằng lời (3.88), Nhận diện giọng Diễn đạt (3.88), Đọc hiểu văn bản (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Phát âm rõ ràng (3.75), Diễn đạt bằng văn bản (3.62), Khả năng sắp xếp thông tin (3.62), Nhạy bén với vấn đề (3.5), Linh hoạt phân loại (3.5)"
Thẩm định viên và định giá bất động sản,"Tầm nhìn gần (3.88), Hiểu ngôn ngữ Diễn đạt (3.75), Nhận diện giọng Diễn đạt (3.75), Đọc hiểu văn bản (3.62), Phát âm rõ ràng (3.62), Diễn đạt bằng lời (3.62), Diễn đạt bằng văn bản (3.5), Suy luận diễn dịch (Logic từ chung đến riêng) (3.5), Suy luận quy nạp (Logic từ riêng đến chung) (3.5)"
Nhà phân tích ngân sách,"Hiểu ngôn ngữ Diễn đạt (3.88), Diễn đạt bằng lời (3.88), Đọc hiểu văn bản (3.88), Nhanh nhạy với con số (3.88), Suy luận toán học (3.88), Khả năng sắp xếp thông tin (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Phát âm rõ ràng (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Diễn đạt bằng văn bản (3.62)"
Nhà phân tích tín dụng,"Diễn đạt bằng lời (4.0), Hiểu ngôn ngữ Diễn đạt (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Đọc hiểu văn bản (3.88), Nhanh nhạy với con số (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Suy luận toán học (3.75), Tầm nhìn gần (3.62), Khả năng sắp xếp thông tin (3.62)"
Nhà phân tích bảo mật thông tin,"Hiểu ngôn ngữ Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Diễn đạt bằng lời (3.75), Tầm nhìn gần (3.75), Linh hoạt phân loại (3.5)"
Các nhà khoa học nghiên cứu máy tính và thông tin,"Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Suy luận quy nạp (Logic từ riêng đến chung) (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Lưu loát ý tưởng (3.88), Nhạy bén với vấn đề (3.88), Đọc hiểu văn bản (3.88), Diễn đạt bằng văn bản (3.75), Khả năng sắp xếp thông tin (3.75), Linh hoạt phân loại (3.75), Tầm nhìn gần (3.75), Sự sáng tạo/Tính nguyên bản (3.62)"
Kiến trúc sư mạng máy tính,"Hiểu ngôn ngữ Diễn đạt (4.0), Linh hoạt phân loại (4.0), Diễn đạt bằng văn bản (4.0), Đọc hiểu văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (4.0), Diễn đạt bằng lời (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.5)"
Quản trị viên cơ sở dữ liệu,"Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Hiểu ngôn ngữ Diễn đạt (3.88), Nhạy bén với vấn đề (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Khả năng sắp xếp thông tin (3.88), Đọc hiểu văn bản (3.88), Tầm nhìn gần (3.62), Diễn đạt bằng lời (3.5)"
Kiến trúc sư cơ sở dữ liệu,"Hiểu ngôn ngữ Diễn đạt (3.88), Đọc hiểu văn bản (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Diễn đạt bằng lời (3.75), Khả năng sắp xếp thông tin (3.75), Nhạy bén với vấn đề (3.75), Tầm nhìn gần (3.62), Phát âm rõ ràng (3.62)"
Quản trị viên hệ thống mạng và máy tính,"Nhạy bén với vấn đề (4.0), Khả năng sắp xếp thông tin (3.88), Đọc hiểu văn bản (3.88), Diễn đạt bằng lời (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Tầm nhìn gần (3.62), Hiểu ngôn ngữ Diễn đạt (3.5)"
Lập trình viên máy tính,"Đọc hiểu văn bản (4.0), Hiểu ngôn ngữ Diễn đạt (3.88), Tầm nhìn gần (3.88), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng lời (3.5)"
Nhà phát triển phần mềm,"Hiểu ngôn ngữ Diễn đạt (3.75), Diễn đạt bằng lời (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Tầm nhìn gần (3.75), Đọc hiểu văn bản (3.75), Khả năng sắp xếp thông tin (3.62), Diễn đạt bằng văn bản (3.5), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Linh hoạt phân loại (3.5)"
Nhà phân tích và người kiểm tra đảm bảo chất lượng phần mềm,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.75), Tầm nhìn gần (3.62)"
Nhà phát triển web,"Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Hiểu ngôn ngữ Diễn đạt (3.75), Tầm nhìn gần (3.62), Đọc hiểu văn bản (3.62), Nhạy bén với vấn đề (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Khả năng sắp xếp thông tin (3.5)"
Nhà thiết kế trò chơi điện tử,"Lưu loát ý tưởng (4.12), Sự sáng tạo/Tính nguyên bản (4.0), Tầm nhìn gần (4.0), Đọc hiểu văn bản (4.0), Hiểu ngôn ngữ Diễn đạt (3.88), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Diễn đạt bằng lời (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75)"
Quản trị viên web,"Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng lời (3.88), Tầm nhìn gần (3.88), Nhạy bén với vấn đề (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Diễn đạt bằng văn bản (3.62)"
Kỹ sư bảo mật thông tin,"Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Tầm nhìn gần (3.62), Nhạy bén với vấn đề (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Phát âm rõ ràng (3.5), Diễn đạt bằng văn bản (3.5)"
Kỹ sư/Kiến trúc sư hệ thống máy tính,"Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (3.88), Sự sáng tạo/Tính nguyên bản (3.75), Tầm nhìn gần (3.5)"
Người quản lý dự án công nghệ thông tin,"Đọc hiểu văn bản (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Hiểu ngôn ngữ Diễn đạt (3.88), Nhạy bén với vấn đề (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Khả năng sắp xếp thông tin (3.88), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62), Phát âm rõ ràng (3.62), Lưu loát ý tưởng (3.62)"
Các nhà toán học,"Suy luận toán học (5.0), Nhanh nhạy với con số (4.62), Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Diễn đạt bằng văn bản (4.12), Đọc hiểu văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Khả năng sắp xếp thông tin (3.88), Linh hoạt phân loại (3.88), Lưu loát ý tưởng (3.75), Sự sáng tạo/Tính nguyên bản (3.75), Nhạy bén với vấn đề (3.75), Tầm nhìn gần (3.62)"
Nhà phân tích nghiên cứu hoạt động,"Suy luận toán học (4.5), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Suy luận quy nạp (Logic từ riêng đến chung) (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Nhạy bén với vấn đề (4.0), Nhanh nhạy với con số (4.0), Khả năng sắp xếp thông tin (3.88), Tầm nhìn gần (3.75), Lưu loát ý tưởng (3.62), Sự sáng tạo/Tính nguyên bản (3.62), Linh hoạt phân loại (3.62)"
