Title,Core Ability
Giáo viên Trung học Cơ sở,"Diễn đạt bằng lời (4.25), Hiểu ngôn ngữ Diễn đạt (3.88), Nhạy bén với vấn đề (3.88), Đọc hiểu văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Phát âm rõ ràng (3.88), Diễn đạt bằng văn bản (3.88), Tầm nhìn gần (3.75), Nhận diện giọng Diễn đạt (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75)"
Giáo viên dạy nghề/kỹ thuật,"Diễn đạt bằng lời (4.25), Hiểu ngôn ngữ Diễn đạt (4.12), Đọc hiểu văn bản (4.12), Phát âm rõ ràng (4.12), Nhận diện giọng Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Diễn đạt bằng văn bản (4.0), Tầm nhìn gần (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Lưu loát ý tưởng (3.75), Khả năng sắp xếp thông tin (3.75), Linh hoạt phân loại (3.5)"
Giáo viên Trung học,"Diễn đạt bằng lời (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Nhận diện giọng Diễn đạt (4.0), Phát âm rõ ràng (4.0), Diễn đạt bằng văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (3.88), Tầm nhìn gần (3.88), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Nhạy bén với vấn đề (3.75), Khả năng sắp xếp thông tin (3.62), Lưu loát ý tưởng (3.5)"
Giám đốc nghệ thuật,"Lưu loát ý tưởng (4.25), Sự sáng tạo/Tính nguyên bản (4.25), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Tầm nhìn gần (4.0), Đọc hiểu văn bản (4.0), Khả năng hình dung (3.88), Nhạy bén với vấn đề (3.75), Phân biệt màu sắc (3.75), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.62), Phát âm rõ ràng (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Linh hoạt phân loại (3.5)"
"Nghệ sĩ mỹ thuật, bao gồm họa sĩ, nhà điêu khắc và họa sĩ minh họa","Sự sáng tạo/Tính nguyên bản (4.38), Khả năng hình dung (4.0), Lưu loát ý tưởng (4.0), Phân biệt màu sắc (3.75), Sự vững vàng tay/cánh tay (3.75), Tầm nhìn gần (3.62)"
Nghệ sĩ và họa sĩ hoạt hình hiệu ứng đặc biệt,"Hiểu ngôn ngữ Diễn đạt (4.12), Khả năng hình dung (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Tầm nhìn gần (3.88), Phân biệt màu sắc (3.62), Nhạy bén với vấn đề (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Phát âm rõ ràng (3.5), Diễn đạt bằng văn bản (3.5), Sự sáng tạo/Tính nguyên bản (3.5)"
Nhà thiết kế thời trang,"Sự sáng tạo/Tính nguyên bản (4.25), Diễn đạt bằng lời (3.88), Lưu loát ý tưởng (3.88), Đọc hiểu văn bản (3.88), Hiểu ngôn ngữ Diễn đạt (3.75), Khả năng hình dung (3.75), Nhận diện giọng Diễn đạt (3.75), Phân biệt màu sắc (3.75), Tầm nhìn gần (3.75), Diễn đạt bằng văn bản (3.62), Nhạy bén với vấn đề (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Linh hoạt phân loại (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.5)"
Nhà thiết kế đồ họa,"Sự sáng tạo/Tính nguyên bản (4.0), Lưu loát ý tưởng (3.88), Tầm nhìn gần (3.88), Đọc hiểu văn bản (3.75), Hiểu ngôn ngữ Diễn đạt (3.62), Diễn đạt bằng lời (3.5), Diễn đạt bằng văn bản (3.5)"
Nhà thiết kế nội thất,"Lưu loát ý tưởng (4.12), Sự sáng tạo/Tính nguyên bản (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Khả năng hình dung (4.0), Diễn đạt bằng lời (4.0), Tầm nhìn gần (4.0), Đọc hiểu văn bản (3.88), Nhận diện giọng Diễn đạt (3.75), Phân biệt màu sắc (3.75), Phát âm rõ ràng (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Diễn đạt bằng văn bản (3.62)"
Nhà sản xuất và đạo diễn,"Diễn đạt bằng lời (4.5), Hiểu ngôn ngữ Diễn đạt (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Nhạy bén với vấn đề (4.0), Phát âm rõ ràng (4.0), Đọc hiểu văn bản (3.88), Sự sáng tạo/Tính nguyên bản (3.75), Diễn đạt bằng văn bản (3.75), Nhận diện giọng Diễn đạt (3.75), Khả năng sắp xếp thông tin (3.75), Tầm nhìn gần (3.75), Khả năng hình dung (3.62), Lưu loát ý tưởng (3.62), Tầm nhìn xa (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Linh hoạt phân loại (3.62)"
Giám đốc/Quản lý kỹ thuật truyền thông,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Tầm nhìn gần (3.88), Đọc hiểu văn bản (3.75), Nhận diện giọng Diễn đạt (3.75), Tầm nhìn xa (3.75), Phát âm rõ ràng (3.75), Diễn đạt bằng văn bản (3.75), Suy luận quy nạp (Logic từ riêng đến chung) (3.75), Khả năng sắp xếp thông tin (3.5)"
Giám đốc âm nhạc và nhà soạn nhạc,"Độ nhạy thính giác (4.25), Đọc hiểu văn bản (3.75), Lưu loát ý tưởng (3.75), Sự sáng tạo/Tính nguyên bản (3.75), Khả năng sắp xếp thông tin (3.75), Hiểu ngôn ngữ Diễn đạt (3.62), Diễn đạt bằng lời (3.62), Sự tập trung thính giác (3.62), Nhận diện giọng Diễn đạt (3.5), Tầm nhìn gần (3.5), Phát âm rõ ràng (3.5), Suy luận diễn dịch (Logic từ chung đến riêng) (3.5), Diễn đạt bằng văn bản (3.5), Linh hoạt phân loại (3.5)"
Nhạc sĩ và ca sĩ,"Hiểu ngôn ngữ Diễn đạt (3.88), Diễn đạt bằng lời (3.88), Độ nhạy thính giác (3.75), Khả năng ghi nhớ (3.5), Nhận diện giọng Diễn đạt (3.5), Sự tập trung thính giác (3.5), Đọc hiểu văn bản (3.5), Phát âm rõ ràng (3.5)"
"Nhà thơ, nhà viết lời và nhà văn sáng tạo","Diễn đạt bằng văn bản (4.75), Lưu loát ý tưởng (4.25), Sự sáng tạo/Tính nguyên bản (4.12), Đọc hiểu văn bản (4.12), Hiểu ngôn ngữ Diễn đạt (3.88), Tầm nhìn gần (3.88), Diễn đạt bằng lời (3.75)"
Nhiếp ảnh gia,"Tầm nhìn gần (4.0), Khả năng hình dung (3.88), Diễn đạt bằng lời (3.88), Tầm nhìn xa (3.88), Sự sáng tạo/Tính nguyên bản (3.88), Hiểu ngôn ngữ Diễn đạt (3.62), Phân biệt màu sắc (3.62)"
Biên tập phim và video,"Hiểu ngôn ngữ Diễn đạt (3.88), Tầm nhìn gần (3.88), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng lời (3.75), Lưu loát ý tưởng (3.62), Đọc hiểu văn bản (3.62), Khả năng hình dung (3.62), Phát âm rõ ràng (3.5), Sự sáng tạo/Tính nguyên bản (3.5)"
Bác sĩ chỉnh nha,"Tầm nhìn gần (4.12), Nhạy bén với vấn đề (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Sự khéo léo của ngón tay (3.88), Đọc hiểu văn bản (3.75), Sự vững vàng tay/cánh tay (3.62), Nhận diện giọng Diễn đạt (3.62), Sự khéo léo của bàn tay (3.62), Phát âm rõ ràng (3.62)"
Nhà trị liệu bức xạ,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (3.88), Nhạy bén với vấn đề (3.88), Đọc hiểu văn bản (3.75), Khả năng sắp xếp thông tin (3.62), Diễn đạt bằng văn bản (3.62), Suy luận diễn dịch (Logic từ chung đến riêng) (3.5)"
Y tá gây mê,"Nhạy bén với vấn đề (4.75), Hiểu ngôn ngữ Diễn đạt (4.12), Đọc hiểu văn bản (4.12), Khả năng sắp xếp thông tin (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Tầm nhìn gần (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Phát âm rõ ràng (4.0), Diễn đạt bằng văn bản (4.0), Diễn đạt bằng lời (4.0), Nhận diện giọng Diễn đạt (3.75), Tập trung có chọn lọc (3.5)"
Y tá hộ sinh,"Đọc hiểu văn bản (4.25), Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Nhạy bén với vấn đề (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Diễn đạt bằng văn bản (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Nhận diện giọng Diễn đạt (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.75), Khả năng sắp xếp thông tin (3.62)"
Bác sĩ gây mê,"Nhạy bén với vấn đề (5.0), Hiểu ngôn ngữ Diễn đạt (4.5), Suy luận diễn dịch (Logic từ chung đến riêng) (4.5), Suy luận quy nạp (Logic từ riêng đến chung) (4.25), Đọc hiểu văn bản (4.25), Diễn đạt bằng lời (4.12), Tầm nhìn gần (4.12), Diễn đạt bằng văn bản (4.0), Khả năng sắp xếp thông tin (3.88), Tập trung có chọn lọc (3.88), Linh hoạt nhận dạng (3.75), Nhận diện giọng Diễn đạt (3.75), Sự vững vàng tay/cánh tay (3.75), Tốc độ nhận thức (3.75), Phát âm rõ ràng (3.75)"
Bác sĩ da liễu,"Diễn đạt bằng lời (4.25), Nhạy bén với vấn đề (4.25), Hiểu ngôn ngữ Diễn đạt (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Suy luận quy nạp (Logic từ riêng đến chung) (4.12), Tầm nhìn gần (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.75), Phát âm rõ ràng (3.75), Nhận diện giọng Diễn đạt (3.62)"
Bác sĩ cấp cứu,"Hiểu ngôn ngữ Diễn đạt (4.62), Diễn đạt bằng lời (4.62), Đọc hiểu văn bản (4.62), Diễn đạt bằng văn bản (4.5), Suy luận quy nạp (Logic từ riêng đến chung) (4.38), Nhạy bén với vấn đề (4.38), Suy luận diễn dịch (Logic từ chung đến riêng) (4.38), Nhận diện giọng Diễn đạt (4.25), Phát âm rõ ràng (4.25), Khả năng sắp xếp thông tin (4.12), Tầm nhìn gần (4.0), Linh hoạt nhận dạng (3.88), Lưu loát ý tưởng (3.75), Tập trung có chọn lọc (3.62), Linh hoạt phân loại (3.62), Sự sáng tạo/Tính nguyên bản (3.62), Tốc độ nhận dạng khuôn mẫu (3.5)"
Bác sĩ Nội tổng quát,"Nhạy bén với vấn đề (4.38), Hiểu ngôn ngữ Diễn đạt (4.25), Diễn đạt bằng lời (4.25), Suy luận quy nạp (Logic từ riêng đến chung) (4.25), Đọc hiểu văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Diễn đạt bằng văn bản (4.0), Tầm nhìn gần (4.0), Khả năng sắp xếp thông tin (4.0), Linh hoạt phân loại (4.0), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.75)"
Bác sĩ sản khoa và phụ khoa,"Nhạy bén với vấn đề (5.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.5), Đọc hiểu văn bản (4.25), Diễn đạt bằng lời (4.25), Suy luận diễn dịch (Logic từ chung đến riêng) (4.25), Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng văn bản (4.12), Tầm nhìn gần (4.0), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.88), Khả năng sắp xếp thông tin (3.75), Linh hoạt phân loại (3.5), Sự vững vàng tay/cánh tay (3.5)"
Bác sĩ Y học Vật lý và Phục hồi chức năng,"Diễn đạt bằng lời (4.12), Nhạy bén với vấn đề (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Suy luận quy nạp (Logic từ riêng đến chung) (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Nhận diện giọng Diễn đạt (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.75), Linh hoạt phân loại (3.75), Lưu loát ý tưởng (3.5)"
Bác sĩ chỉnh hình và chân tay giả,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Tầm nhìn gần (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Khả năng hình dung (3.88), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.62), Phát âm rõ ràng (3.62)"
Cố vấn di truyền,"Đọc hiểu văn bản (4.25), Suy luận diễn dịch (Logic từ chung đến riêng) (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Diễn đạt bằng văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (3.88), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.75)"
lính cứu hỏa,"Nhạy bén với vấn đề (4.12), Hiểu ngôn ngữ Diễn đạt (3.88), Sự vững vàng tay/cánh tay (3.75), Diễn đạt bằng lời (3.75), Tầm nhìn xa (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Sức mạnh tĩnh (3.75), Tầm nhìn gần (3.62), Sức bền (3.62), Sự phối hợp đa chi (3.62), Sự chính xác khi điều khiển (3.62), Phát âm rõ ràng (3.62), Suy luận quy nạp (Logic từ riêng đến chung) (3.62), Sức mạnh cơ cốt lõi (Trunk) (3.5), Thời gian phản ứng (3.5), Sức mạnh động (3.5), Linh hoạt nhận dạng (3.5), Nhận diện giọng Diễn đạt (3.5), Sự khéo léo của bàn tay (3.5), Khả năng sắp xếp thông tin (3.5)"
Cảnh sát và nhân viên tuần tra của cảnh sát trưởng,"Hiểu ngôn ngữ Diễn đạt (4.5), Nhạy bén với vấn đề (4.5), Suy luận quy nạp (Logic từ riêng đến chung) (4.25), Suy luận diễn dịch (Logic từ chung đến riêng) (4.25), Diễn đạt bằng lời (4.12), Đọc hiểu văn bản (3.88), Phát âm rõ ràng (3.88), Khả năng sắp xếp thông tin (3.75), Tầm nhìn gần (3.75), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn xa (3.62), Diễn đạt bằng văn bản (3.5), Linh hoạt nhận dạng (3.5)"
Cảnh sát giao thông và đường sắt,"Nhạy bén với vấn đề (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Phát âm rõ ràng (3.88), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Diễn đạt bằng văn bản (3.75), Tầm nhìn xa (3.75), Tầm nhìn gần (3.75), Nhận diện giọng Diễn đạt (3.62)"
Hướng dẫn du lịch,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (3.88), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.88)"
Đại lý bán bảo hiểm,"Hiểu ngôn ngữ Diễn đạt (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng lời (4.0), Phát âm rõ ràng (3.75), Diễn đạt bằng văn bản (3.62), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.5)"
Môi giới bất động sản,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (3.62), Nhận diện giọng Diễn đạt (3.62), Tầm nhìn gần (3.62), Phát âm rõ ràng (3.62), Diễn đạt bằng văn bản (3.5)"
Đại lý bán bất động sản,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (3.88), Nhận diện giọng Diễn đạt (3.88), Phát âm rõ ràng (3.88)"
Phi công thương mại,"Tốc độ nhận thức (4.12), Tầm nhìn gần (4.12), Nhạy bén với vấn đề (4.12), Sự chính xác khi điều khiển (4.12), Hiểu ngôn ngữ Diễn đạt (4.0), Cảm nhận độ sâu (4.0), Tầm nhìn xa (4.0), Thời gian phản ứng (4.0), Tập trung có chọn lọc (4.0), Định hướng phản ứng (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Diễn đạt bằng lời (4.0), Định hướng không gian (3.88), Sự phối hợp đa chi (3.88), Đọc hiểu văn bản (3.88), Kiểm soát nhịp độ/tốc độ (3.88), Nhận diện giọng Diễn đạt (3.75), Phát âm rõ ràng (3.75), Khả năng đa nhiệm (Time Sharing) (3.62), Linh hoạt nhận dạng (3.5)"
"Thuyền trưởng, thuyền phó và hoa tiêu của tàu nước","Hiểu ngôn ngữ Diễn đạt (3.88), Diễn đạt bằng lời (3.88), Định hướng không gian (3.75), Tầm nhìn xa (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Tầm nhìn gần (3.62), Đọc hiểu văn bản (3.62), Sự chính xác khi điều khiển (3.62), Sự vững vàng tay/cánh tay (3.62), Phát âm rõ ràng (3.62), Nhận diện giọng Diễn đạt (3.5), Tốc độ nhận thức (3.5), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Khả năng sắp xếp thông tin (3.5)"
Nhà khoa học dữ liệu,"Hiểu ngôn ngữ Diễn đạt (4.0), Diễn đạt bằng lời (4.0), Đọc hiểu văn bản (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Khả năng sắp xếp thông tin (3.75), Diễn đạt bằng văn bản (3.75), Tầm nhìn gần (3.75), Phát âm rõ ràng (3.62)"
Chuyên gia kiểm thử xâm nhập,"Hiểu ngôn ngữ Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Diễn đạt bằng lời (3.75), Tầm nhìn gần (3.75), Linh hoạt phân loại (3.5)"
Kỹ sư Blockchain,"Hiểu ngôn ngữ Diễn đạt (3.75), Diễn đạt bằng lời (3.75), Nhạy bén với vấn đề (3.75), Suy luận diễn dịch (Logic từ chung đến riêng) (3.75), Tầm nhìn gần (3.75), Đọc hiểu văn bản (3.75), Khả năng sắp xếp thông tin (3.62), Diễn đạt bằng văn bản (3.5), Suy luận quy nạp (Logic từ riêng đến chung) (3.5), Linh hoạt phân loại (3.5)"
Chuyên viên phân tích pháp y kỹ thuật số,"Hiểu ngôn ngữ Diễn đạt (4.0), Nhạy bén với vấn đề (4.0), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (4.0), Đọc hiểu văn bản (4.0), Diễn đạt bằng văn bản (3.88), Khả năng sắp xếp thông tin (3.88), Diễn đạt bằng lời (3.75), Tầm nhìn gần (3.75), Linh hoạt phân loại (3.5)"
Nhà thiết kế giao diện web và kỹ thuật số,"Sự sáng tạo/Tính nguyên bản (4.0), Lưu loát ý tưởng (3.88), Tầm nhìn gần (3.88), Đọc hiểu văn bản (3.75), Hiểu ngôn ngữ Diễn đạt (3.62), Diễn đạt bằng lời (3.5), Diễn đạt bằng văn bản (3.5)"
Nhà phân tích tài chính và đầu tư,"Hiểu ngôn ngữ Diễn đạt (4.12), Diễn đạt bằng lời (4.12), Đọc hiểu văn bản (4.12), Suy luận diễn dịch (Logic từ chung đến riêng) (4.0), Phát âm rõ ràng (4.0), Suy luận quy nạp (Logic từ riêng đến chung) (3.88), Nhạy bén với vấn đề (3.88), Diễn đạt bằng văn bản (3.88), Tầm nhìn gần (3.75), Khả năng sắp xếp thông tin (3.75), Nhận diện giọng Diễn đạt (3.75), Suy luận toán học (3.5), Nhanh nhạy với con số (3.5)"
