Title,Description,Ngành
Giám đốc điều hành,"Xác định và xây dựng các chính sách cũng như đưa ra định hướng chung cho các công ty hoặc tổ chức khu vực công và tư nhân theo hướng dẫn do ban giám đốc hoặc cơ quan quản lý tương tự thiết lập. Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động vận hành ở cấp quản lý cao nhất với sự giúp đỡ của các giám đốc điều hành cấp dưới và quản lý nhân viên.",Chủ doanh nghiệp
Người quản lý quảng cáo và khuyến mãi,"Lập kế hoạch, chỉ đạo hoặc điều phối các chính sách và chương trình quảng cáo hoặc sản xuất tài liệu bổ sung, chẳng hạn như áp phích, cuộc thi, phiếu giảm giá hoặc quà tặng, để tạo thêm sự quan tâm đến việc mua sản phẩm hoặc dịch vụ cho một bộ phận, toàn bộ tổ chức hoặc trên cơ sở tài khoản.","Chủ doanh nghiệp, Nghiên cứu mạng xã hội"
Giám đốc tiếp thị,"Lập kế hoạch, chỉ đạo hoặc điều phối các chính sách và chương trình tiếp thị, chẳng hạn như xác định nhu cầu về sản phẩm và dịch vụ do công ty và đối thủ cạnh tranh cung cấp, đồng thời xác định khách hàng tiềm năng. Phát triển chiến lược định giá với mục tiêu tối đa hóa lợi nhuận hoặc thị phần của công ty trong khi vẫn đảm bảo khách hàng của công ty hài lòng. Giám sát việc phát triển sản phẩm hoặc theo dõi các xu hướng cho thấy nhu cầu về sản phẩm và dịch vụ mới.","Chủ doanh nghiệp, Nghiên cứu mạng xã hội"
Quản lý quan hệ công chúng,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động được thiết kế để tạo hoặc duy trì hình ảnh có lợi trước công chúng hoặc nâng cao nhận thức về vấn đề cho tổ chức hoặc khách hàng của họ.","Nghiên cứu mạng xã hội, Nhà văn"
Người quản lý dịch vụ hành chính,"Lập kế hoạch, chỉ đạo hoặc điều phối một hoặc nhiều dịch vụ hành chính của một tổ chức, chẳng hạn như quản lý hồ sơ và thông tin, phân phối thư và các dịch vụ hỗ trợ văn phòng khác.","Chủ doanh nghiệp, Viên chức nhà nước"
Quản lý cơ sở vật chất,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động và chức năng của cơ sở vật chất và tòa nhà. Có thể bao gồm các khu đất xung quanh hoặc nhiều cơ sở trong khuôn viên của tổ chức.","Chủ doanh nghiệp, Kỹ sư xây dựng"
Người quản lý hệ thống thông tin và máy tính,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động trong các lĩnh vực như xử lý dữ liệu điện tử, hệ thống thông tin, phân tích hệ thống và lập trình máy tính.","Kỹ sư phần mềm, Chủ doanh nghiệp"
Người quản lý tài chính,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động kế toán, đầu tư, ngân hàng, bảo hiểm, chứng khoán và các hoạt động tài chính khác của chi nhánh, văn phòng hoặc bộ phận của cơ sở.","Nhân viên ngân hàng, Kế toán, Chủ doanh nghiệp"
Quản lý chuỗi cung ứng,"Chỉ đạo hoặc điều phối các dịch vụ hoặc hoạt động sản xuất, mua hàng, lưu kho, phân phối hoặc dự báo tài chính để hạn chế chi phí và cải thiện độ chính xác, dịch vụ khách hàng hoặc sự an toàn. Kiểm tra các thủ tục hoặc cơ hội hiện có để hợp lý hóa các hoạt động nhằm đáp ứng nhu cầu phân phối sản phẩm. Chỉ đạo việc di chuyển, lưu trữ hoặc xử lý hàng tồn kho.",Chủ doanh nghiệp
Quản lý nhân sự,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động nhân sự và nhân viên của một tổ chức.","Chủ doanh nghiệp, Viên chức nhà nước"
Quản lý xây dựng,"Lập kế hoạch, chỉ đạo hoặc điều phối, thường thông qua nhân viên giám sát cấp dưới, các hoạt động liên quan đến việc xây dựng và bảo trì các công trình, cơ sở vật chất và hệ thống. Tham gia vào quá trình phát triển ý tưởng của một dự án xây dựng và giám sát việc tổ chức, lập kế hoạch, lập ngân sách và thực hiện dự án đó. Bao gồm những người quản lý trong các lĩnh vực xây dựng chuyên ngành, chẳng hạn như nghề mộc hoặc hệ thống ống nước.","Kỹ sư xây dựng, Chủ doanh nghiệp"
Cán bộ quản lý giáo dục từ mẫu giáo đến trung học,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động học thuật, hành chính hoặc phụ trợ của trường mẫu giáo, tiểu học hoặc trung học.","Giáo viên, Viên chức nhà nước"
Quản lý kiến trúc và kỹ thuật,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động trong các lĩnh vực như kiến trúc và kỹ thuật hoặc nghiên cứu và phát triển trong các lĩnh vực này.","Kỹ sư xây dựng, Chủ doanh nghiệp"
Quản lý khách sạn,"Lập kế hoạch, chỉ đạo hoặc điều phối các hoạt động của một tổ chức hoặc bộ phận cung cấp chỗ ở và các tiện nghi khác.",Chủ doanh nghiệp
Người quản lý bưu điện và giám đốc thư,"Lập kế hoạch, chỉ đạo hoặc điều phối các dịch vụ vận hành, hành chính, quản lý và hỗ trợ của bưu điện Hoa Kỳ; hoặc điều phối hoạt động của người lao động làm công việc bưu chính và các công việc liên quan tại bưu cục được phân công.",Viên chức nhà nước
Điều tra viên,"Các hoạt động trực tiếp như khám nghiệm tử thi, phân tích bệnh lý và độc tính cũng như điều tra liên quan đến việc điều tra các trường hợp tử vong xảy ra trong phạm vi quyền hạn pháp lý để xác định nguyên nhân cái chết hoặc xác định trách nhiệm đối với những cái chết do tai nạn, bạo lực hoặc không giải thích được.","Luật sư, Viên chức nhà nước"
Người ước tính chi phí,"Lập dự toán chi phí sản xuất sản phẩm, dự án xây dựng hoặc dịch vụ để hỗ trợ quản lý trong việc đấu thầu hoặc xác định giá sản phẩm hoặc dịch vụ. Có thể chuyên môn hóa theo dịch vụ cụ thể được thực hiện hoặc loại sản phẩm được sản xuất.","Kế toán, Kỹ sư xây dựng"
Kỹ sư Logistic,"Thiết kế hoặc phân tích các giải pháp vận hành cho các dự án như tối ưu hóa vận tải, mô hình hóa mạng, phân tích quy trình và phương pháp, hạn chế chi phí, nâng cao năng lực, tối ưu hóa lộ trình và vận chuyển hoặc quản lý thông tin.","Chủ doanh nghiệp, Kỹ sư xây dựng"
Tìm kiếm nhà chiến lược tiếp thị,"Sử dụng các chiến thuật tiếp thị tìm kiếm để tăng khả năng hiển thị và mức độ tương tác với nội dung, sản phẩm hoặc dịch vụ trong các thiết bị hoặc giao diện hỗ trợ Internet. Kiểm tra hành vi truy vấn tìm kiếm trên các công cụ tìm kiếm chung hoặc chuyên biệt hoặc nội dung dựa trên Internet khác. Phân tích nghiên cứu, dữ liệu hoặc công nghệ để hiểu ý định của người dùng và đo lường kết quả để tối ưu hóa liên tục.","Nghiên cứu mạng xã hội, Chủ doanh nghiệp"
Kế toán viên và kiểm toán viên,"Kiểm tra, phân tích và giải thích hồ sơ kế toán để lập báo cáo tài chính, đưa ra lời khuyên hoặc kiểm toán và đánh giá báo cáo do người khác chuẩn bị. Cài đặt hoặc tư vấn về hệ thống ghi chép chi phí hoặc dữ liệu tài chính ngân sách khác.",Kế toán
Thẩm định viên tài sản cá nhân và doanh nghiệp,"Thẩm định và ước tính giá trị hợp lý của tài sản cá nhân hoặc tài sản kinh doanh hữu hình, chẳng hạn như đồ trang sức, tác phẩm nghệ thuật, đồ cổ, đồ sưu tầm và thiết bị. Cũng có thể thẩm định đất đai.","Nhà đầu tư chứng khoán, Nhà phát triển bất động sản"
Thẩm định viên và định giá bất động sản,Thẩm định giá bất động sản một cách độc quyền và ước tính giá trị hợp lý của nó. Có thể ấn định thuế theo đúng lịch trình quy định.,Nhà phát triển bất động sản
Nhà phân tích ngân sách,"Kiểm tra dự toán ngân sách về tính đầy đủ, chính xác và phù hợp với các thủ tục và quy định. Phân tích báo cáo kế toán và ngân sách.","Kế toán, Viên chức nhà nước"
Nhà phân tích tín dụng,Phân tích dữ liệu tín dụng và báo cáo tài chính của cá nhân hoặc công ty để xác định mức độ rủi ro liên quan đến việc cấp tín dụng hoặc cho vay tiền. Chuẩn bị báo cáo với thông tin tín dụng để sử dụng trong việc ra quyết định.,"Nhân viên ngân hàng, Nhà đầu tư chứng khoán"
Nhà phân tích tài chính và đầu tư,"Tiến hành phân tích định lượng thông tin liên quan đến các chương trình đầu tư hoặc dữ liệu tài chính của các tổ chức công hoặc tư nhân, bao gồm cả việc định giá doanh nghiệp.","Nhân viên ngân hàng, Nhà đầu tư chứng khoán"
Nhà phân tích bảo mật thông tin,"Lập kế hoạch, thực hiện, nâng cấp hoặc giám sát các biện pháp bảo mật để bảo vệ mạng máy tính và thông tin. Đánh giá các lỗ hổng hệ thống để tìm ra rủi ro bảo mật, đồng thời đề xuất và thực hiện các chiến lược giảm thiểu rủi ro. Có thể đảm bảo áp dụng các biện pháp kiểm soát bảo mật thích hợp để bảo vệ các tệp kỹ thuật số và cơ sở hạ tầng điện tử quan trọng. Có thể ứng phó với các vi phạm an ninh máy tính và virus.",Kỹ sư phần mềm
Các nhà khoa học nghiên cứu máy tính và thông tin,"Tiến hành nghiên cứu về máy tính và khoa học thông tin cơ bản với tư cách là nhà lý thuyết, nhà thiết kế hoặc nhà phát minh. Phát triển các giải pháp cho các vấn đề trong lĩnh vực phần cứng và phần mềm máy tính.","Kỹ sư phần mềm, Nhà khoa học"
Kiến trúc sư mạng máy tính,"Thiết kế và triển khai các mạng máy tính và thông tin, chẳng hạn như mạng cục bộ (LAN), mạng diện rộng (WAN), mạng nội bộ, mạng ngoại vi và các mạng truyền thông dữ liệu khác. Thực hiện mô hình hóa, phân tích và lập kế hoạch mạng, bao gồm phân tích nhu cầu năng lực cho cơ sở hạ tầng mạng. Cũng có thể thiết kế các biện pháp bảo mật mạng và máy tính. Có thể nghiên cứu và đề xuất phần cứng và phần mềm truyền thông dữ liệu và mạng.",Kỹ sư phần mềm
Quản trị viên cơ sở dữ liệu,"Quản trị, kiểm tra và triển khai cơ sở dữ liệu máy tính, áp dụng kiến thức về hệ thống quản lý cơ sở dữ liệu. Phối hợp các thay đổi đối với cơ sở dữ liệu máy tính. Xác định, điều tra và giải quyết các vấn đề về hiệu suất cơ sở dữ liệu, dung lượng cơ sở dữ liệu và khả năng mở rộng cơ sở dữ liệu. Có thể lập kế hoạch, điều phối và thực hiện các biện pháp bảo mật để bảo vệ cơ sở dữ liệu máy tính.",Kỹ sư phần mềm
Kiến trúc sư cơ sở dữ liệu,"Chiến lược thiết kế cho cơ sở dữ liệu doanh nghiệp, hệ thống kho dữ liệu và mạng đa chiều. Đặt tiêu chuẩn cho hoạt động cơ sở dữ liệu, lập trình, quy trình truy vấn và bảo mật. Mô hình hóa, thiết kế và xây dựng cơ sở dữ liệu quan hệ hoặc kho dữ liệu lớn. Tạo và tối ưu hóa các mô hình dữ liệu cho cơ sở hạ tầng kho và quy trình làm việc. Tích hợp các hệ thống mới với cấu trúc kho hiện có và tinh chỉnh hiệu suất cũng như chức năng của hệ thống.",Kỹ sư phần mềm
Quản trị viên hệ thống mạng và máy tính,"Cài đặt, định cấu hình và duy trì mạng cục bộ (LAN), mạng diện rộng (WAN), mạng truyền dữ liệu, hệ điều hành cũng như máy chủ vật lý và ảo của tổ chức. Thực hiện giám sát hệ thống và xác minh tính toàn vẹn và tính sẵn có của tài nguyên và hệ thống phần cứng, mạng và máy chủ. Xem lại nhật ký hệ thống và ứng dụng cũng như xác minh việc hoàn thành các công việc đã lên lịch, bao gồm cả sao lưu hệ thống. Phân tích mức tiêu thụ tài nguyên mạng và máy chủ và kiểm soát quyền truy cập của người dùng. Cài đặt và nâng cấp phần mềm và duy trì giấy phép phần mềm. Có thể hỗ trợ mô hình hóa, phân tích, lập kế hoạch và phối hợp giữa phần cứng và phần mềm truyền thông dữ liệu và mạng.",Kỹ sư phần mềm
Lập trình viên máy tính,"Tạo, sửa đổi và kiểm tra mã và tập lệnh cho phép các ứng dụng máy tính chạy. Làm việc dựa trên các thông số kỹ thuật do các nhà phát triển phần mềm và web hoặc các cá nhân khác soạn thảo. Có thể phát triển và viết các chương trình máy tính để lưu trữ, định vị và truy xuất các tài liệu, dữ liệu và thông tin cụ thể.",Kỹ sư phần mềm
Nhà phát triển phần mềm,"Nghiên cứu, thiết kế và phát triển các phần mềm máy tính, mạng hoặc các chương trình tiện ích chuyên dụng. Phân tích nhu cầu của người dùng và phát triển các giải pháp phần mềm, áp dụng các nguyên tắc và kỹ thuật của khoa học máy tính, kỹ thuật và phân tích toán học. Cập nhật phần mềm hoặc nâng cao khả năng của phần mềm hiện có. Có thể làm việc với các kỹ sư phần cứng máy tính để tích hợp hệ thống phần cứng và phần mềm, đồng thời phát triển các thông số kỹ thuật và yêu cầu về hiệu suất. Có thể duy trì cơ sở dữ liệu trong khu vực ứng dụng, làm việc riêng lẻ hoặc điều phối việc phát triển cơ sở dữ liệu như một phần của nhóm.",Kỹ sư phần mềm
Nhà phân tích và người kiểm tra đảm bảo chất lượng phần mềm,"Phát triển và thực hiện các thử nghiệm phần mềm để xác định các sự cố phần mềm và nguyên nhân của chúng. Kiểm tra các sửa đổi hệ thống để chuẩn bị triển khai. Ghi lại các lỗi phần mềm và ứng dụng bằng hệ thống theo dõi lỗi và báo cáo lỗi cho nhà phát triển phần mềm hoặc web. Tạo và duy trì cơ sở dữ liệu về các lỗi đã biết. Có thể tham gia đánh giá thiết kế phần mềm để cung cấp đầu vào về các yêu cầu chức năng, đặc điểm vận hành, thiết kế sản phẩm và lịch trình.",Kỹ sư phần mềm
Nhà phát triển web,"Phát triển và triển khai các trang web, ứng dụng web, cơ sở dữ liệu ứng dụng và giao diện web tương tác. Đánh giá mã để đảm bảo mã có cấu trúc phù hợp, đáp ứng các tiêu chuẩn ngành và tương thích với trình duyệt và thiết bị. Tối ưu hóa hiệu suất trang web, khả năng mở rộng cũng như mã và quy trình phía máy chủ. Có thể phát triển cơ sở hạ tầng trang web và tích hợp trang web với các ứng dụng máy tính khác.",Kỹ sư phần mềm
Nhà thiết kế giao diện web và kỹ thuật số,"Thiết kế giao diện người dùng hoặc trang web kỹ thuật số. Phát triển và thử nghiệm bố cục, giao diện, chức năng và menu điều hướng để đảm bảo tính tương thích và khả năng sử dụng trên các trình duyệt hoặc thiết bị. Có thể sử dụng các ứng dụng khung web cũng như mã và quy trình phía máy khách. Có thể đánh giá thiết kế web theo các tiêu chuẩn web và khả năng truy cập, đồng thời có thể phân tích các số liệu sử dụng web và tối ưu hóa trang web để tiếp thị và xếp hạng công cụ tìm kiếm. Có thể thiết kế và thử nghiệm các giao diện tạo điều kiện thuận lợi cho sự tương tác giữa con người và máy tính và tối đa hóa khả năng sử dụng của các thiết bị kỹ thuật số, trang web và phần mềm, tập trung vào tính thẩm mỹ và thiết kế. Có thể tạo đồ họa được sử dụng trong các trang web và quản lý nội dung và liên kết trang web.","Nhà thiết kế, Kỹ sư phần mềm"
Nhà thiết kế trò chơi điện tử,"Thiết kế các tính năng cốt lõi của trò chơi điện tử. Chỉ định cơ chế trò chơi và nhập vai sáng tạo, mạch truyện và tiểu sử nhân vật. Tạo và lưu trữ tài liệu thiết kế. Hướng dẫn và cộng tác với nhân viên sản xuất để sản xuất game theo đúng thiết kế.","Nhà phát triển game, Nhà thiết kế"
Quản trị viên web,"Quản lý các hoạt động thiết kế, triển khai, phát triển và bảo trì môi trường web. Thực hiện kiểm tra và đảm bảo chất lượng của các trang web và ứng dụng web.",Kỹ sư phần mềm
Máy kiểm tra thâm nhập,Đánh giá an ninh hệ thống mạng bằng cách tiến hành các cuộc tấn công mạng mô phỏng bên trong và bên ngoài bằng các công cụ và kỹ thuật của đối thủ. Cố gắng vi phạm và khai thác các hệ thống quan trọng cũng như giành quyền truy cập vào thông tin nhạy cảm để đánh giá tính bảo mật của hệ thống.,Kỹ sư phần mềm
Kỹ sư bảo mật thông tin,"Phát triển và giám sát việc thực hiện các thủ tục và chính sách bảo mật thông tin. Xây dựng, duy trì và nâng cấp công nghệ bảo mật, chẳng hạn như tường lửa, để sử dụng an toàn mạng máy tính cũng như truyền tải và truy xuất thông tin. Thiết kế và triển khai các biện pháp kiểm soát bảo mật thích hợp để xác định các lỗ hổng và bảo vệ các tệp kỹ thuật số cũng như cơ sở hạ tầng điện tử. Giám sát và ứng phó với các vi phạm an ninh máy tính, vi rút và xâm nhập, đồng thời thực hiện điều tra pháp y. Có thể giám sát việc đánh giá hệ thống an ninh thông tin.",Kỹ sư phần mềm
Kỹ sư block chain,"Duy trì và hỗ trợ các mạng dựa trên blockchain phân tán và phi tập trung hoặc các ứng dụng chuỗi khối như trao đổi tiền điện tử, xử lý thanh toán, chia sẻ tài liệu và bỏ phiếu kỹ thuật số. Thiết kế và triển khai các mẫu và giải pháp thiết kế chuỗi khối an toàn trên các mạng phân tán theo địa lý bằng cách sử dụng các công nghệ tiên tiến. Có thể hỗ trợ thiết lập và kiểm tra cơ sở hạ tầng về tính minh bạch và bảo mật của ứng dụng.",Kỹ sư phần mềm
Kỹ sư/Kiến trúc sư hệ thống máy tính,"Thiết kế và phát triển các giải pháp cho các vấn đề ứng dụng phức tạp, vấn đề quản trị hệ thống hoặc các vấn đề về mạng. Thực hiện các chức năng quản lý và tích hợp hệ thống.",Kỹ sư phần mềm
Người quản lý dự án công nghệ thông tin,"Lập kế hoạch, khởi xướng và quản lý các dự án công nghệ thông tin (CNTT). Lãnh đạo, hướng dẫn công việc của nhân viên kỹ thuật. Đóng vai trò là người liên lạc giữa các khía cạnh kinh doanh và kỹ thuật của dự án. Lập kế hoạch các giai đoạn của dự án và đánh giá ý nghĩa kinh doanh cho từng giai đoạn. Giám sát tiến độ để đảm bảo đáp ứng thời hạn, tiêu chuẩn và mục tiêu chi phí.","Kỹ sư phần mềm, Chủ doanh nghiệp"
Các nhà toán học,"Tiến hành nghiên cứu về toán học cơ bản hoặc ứng dụng các kỹ thuật toán học vào khoa học, quản lý và các lĩnh vực khác. Giải quyết các vấn đề trong các lĩnh vực khác nhau bằng phương pháp toán học.",Nhà khoa học
Nhà phân tích nghiên cứu hoạt động,"Xây dựng và áp dụng mô hình toán học cũng như các phương pháp tối ưu hóa khác để phát triển và giải thích thông tin hỗ trợ quản lý trong việc ra quyết định, xây dựng chính sách hoặc các chức năng quản lý khác. Có thể thu thập và phân tích dữ liệu cũng như phát triển phần mềm, dịch vụ hoặc sản phẩm hỗ trợ quyết định. Có thể phát triển và cung cấp mạng lưới thời gian, chi phí hoặc hậu cần tối ưu để đánh giá, đánh giá hoặc thực hiện chương trình.","Nhà khoa học, Chủ doanh nghiệp"
Nhà thống kê,"Phát triển hoặc áp dụng lý thuyết và phương pháp toán học hoặc thống kê để thu thập, sắp xếp, giải thích và tóm tắt dữ liệu số nhằm cung cấp thông tin có thể sử dụng được. Có thể chuyên về các lĩnh vực như thống kê sinh học, thống kê nông nghiệp, thống kê kinh doanh hoặc thống kê kinh tế. Bao gồm các nhà thống kê toán học và khảo sát.",Nhà khoa học
Nhà khoa học dữ liệu,"Phát triển và triển khai một bộ kỹ thuật hoặc ứng dụng phân tích để chuyển đổi dữ liệu thô thành thông tin có ý nghĩa bằng cách sử dụng ngôn ngữ lập trình hướng dữ liệu và phần mềm trực quan hóa. Áp dụng khai thác dữ liệu, mô hình hóa dữ liệu, xử lý ngôn ngữ tự nhiên và học máy để trích xuất và phân tích thông tin từ các bộ dữ liệu có cấu trúc và phi cấu trúc lớn. Trực quan hóa, giải thích và báo cáo kết quả dữ liệu. Có thể tạo báo cáo dữ liệu động.","Kỹ sư phần mềm, Nhà khoa học"
Kiến trúc sư,"Lập kế hoạch và thiết kế các công trình, chẳng hạn như nhà ở tư nhân, tòa nhà văn phòng, nhà hát, nhà máy và các tài sản kết cấu khác.","Kỹ sư xây dựng, Nhà thiết kế"
Kiến trúc sư cảnh quan,"Quy hoạch và thiết kế diện tích đất cho các dự án như công viên và các cơ sở giải trí khác, sân bay, đường cao tốc, bệnh viện, trường học, phân khu đất và các khu thương mại, công nghiệp và dân cư.","Kỹ sư xây dựng, Nhà thiết kế"
Người vẽ bản đồ và nhà đo ảnh,"Nghiên cứu, nghiên cứu và chuẩn bị bản đồ cũng như dữ liệu không gian khác ở dạng đồ họa hoặc kỹ thuật số cho một hoặc nhiều mục đích, chẳng hạn như mục đích pháp lý, xã hội, chính trị, giáo dục và thiết kế. Có thể hoạt động với Hệ thống thông tin địa lý (GIS). Có thể thiết kế và đánh giá các thuật toán, cấu trúc dữ liệu và giao diện người dùng cho hệ thống bản đồ và GIS. Có thể thu thập, phân tích và giải thích thông tin địa lý được cung cấp bởi các cuộc khảo sát trắc địa, ảnh chụp từ trên không và dữ liệu vệ tinh.","Kỹ sư xây dựng, Nhà khoa học"
Giám định viên,"Thực hiện các phép đo chính xác và xác định ranh giới tài sản. Cung cấp dữ liệu liên quan đến hình dạng, đường viền, trọng lực, vị trí, độ cao hoặc kích thước của đất hoặc các đặc điểm đất trên hoặc gần bề mặt trái đất cho mục đích kỹ thuật, lập bản đồ, khai thác, đánh giá đất đai, xây dựng và các mục đích khác.","Kỹ sư xây dựng, Viên chức nhà nước"
