Title,Description,Ngành
Kỹ sư hàng không vũ trụ,"Thực hiện các nhiệm vụ kỹ thuật trong việc thiết kế, chế tạo và thử nghiệm máy bay, tên lửa và tàu vũ trụ. Có thể tiến hành nghiên cứu cơ bản và ứng dụng để đánh giá khả năng thích ứng của vật liệu và thiết bị với thiết kế và sản xuất máy bay. Có thể đề xuất cải tiến thiết bị và kỹ thuật kiểm tra.",Nhà khoa học
Kỹ sư nông nghiệp,"Áp dụng kiến thức về công nghệ kỹ thuật và khoa học sinh học vào các vấn đề nông nghiệp liên quan đến năng lượng và máy móc, điện khí hóa, kết cấu, bảo tồn đất và nước cũng như chế biến các sản phẩm nông nghiệp.",Nhà khoa học
Kỹ sư sinh học và kỹ sư y sinh,"Áp dụng kiến thức về kỹ thuật, sinh học, hóa học, khoa học máy tính và các nguyên tắc cơ sinh học để thiết kế, phát triển và đánh giá các hệ thống và sản phẩm sinh học, nông nghiệp và y tế, chẳng hạn như cơ quan nhân tạo, bộ phận giả, thiết bị đo đạc, hệ thống thông tin y tế và hệ thống cung cấp dịch vụ chăm sóc và quản lý sức khỏe.","Nhà khoa học, Bác sĩ"
Kỹ sư hóa học,"Thiết kế thiết bị của nhà máy hóa chất và đưa ra các quy trình sản xuất hóa chất và sản phẩm như xăng, cao su tổng hợp, nhựa, chất tẩy rửa, xi măng, giấy và bột giấy bằng cách áp dụng các nguyên tắc và công nghệ hóa học, vật lý và kỹ thuật.",Nhà khoa học
kỹ sư xây dựng,"Thực hiện các nhiệm vụ kỹ thuật trong việc lập kế hoạch, thiết kế và giám sát việc xây dựng và bảo trì các công trình và cơ sở vật chất như đường bộ, đường sắt, sân bay, cầu, bến cảng, kênh, đập, dự án thủy lợi, đường ống, nhà máy điện và hệ thống nước và nước thải.",Kỹ sư xây dựng
Kỹ sư cầu đường,"Xây dựng kế hoạch cho các dự án giao thông đường bộ theo các tiêu chuẩn kỹ thuật đã được thiết lập và chính sách xây dựng của tiểu bang hoặc liên bang. Chuẩn bị thiết kế, thông số kỹ thuật hoặc dự toán cho các phương tiện vận tải. Lập kế hoạch sửa đổi các đường phố, đường cao tốc hoặc đường cao tốc hiện có để cải thiện lưu lượng giao thông.",Kỹ sư xây dựng
Kỹ sư nước/nước thải,"Thiết kế hoặc giám sát các dự án liên quan đến cung cấp nước uống, xử lý nước thải hoặc ngăn ngừa thiệt hại do lũ lụt. Chuẩn bị tài liệu môi trường về tài nguyên nước, tuân thủ chương trình quy định, quản lý và phân tích dữ liệu cũng như công việc thực địa. Thực hiện mô hình thủy lực và thiết kế đường ống.",Kỹ sư xây dựng
Kỹ sư phần cứng máy tính,"Nghiên cứu, thiết kế, phát triển hoặc thử nghiệm máy tính hoặc thiết bị liên quan đến máy tính cho mục đích thương mại, công nghiệp, quân sự hoặc khoa học. Có thể giám sát việc sản xuất và lắp đặt máy tính hoặc các thiết bị và linh kiện liên quan đến máy tính.",Kỹ sư phần mềm
Kỹ sư điện,"Nghiên cứu, thiết kế, phát triển, thử nghiệm hoặc giám sát việc sản xuất và lắp đặt các thiết bị điện, linh kiện hoặc hệ thống cho mục đích thương mại, công nghiệp, quân sự hoặc khoa học.",Kỹ sư xây dựng
"Kỹ sư điện tử, ngoại trừ máy tính","Nghiên cứu, thiết kế, phát triển hoặc thử nghiệm các linh kiện và hệ thống điện tử cho mục đích thương mại, công nghiệp, quân sự hoặc khoa học sử dụng kiến thức về lý thuyết điện tử và các đặc tính vật liệu. Thiết kế các mạch và linh kiện điện tử để sử dụng trong các lĩnh vực như viễn thông, hướng dẫn hàng không vũ trụ và điều khiển động cơ, âm học hoặc dụng cụ và điều khiển.",Kỹ sư xây dựng
Kỹ sư môi trường,"Nghiên cứu, thiết kế, lập kế hoạch hoặc thực hiện các nhiệm vụ kỹ thuật trong việc ngăn ngừa, kiểm soát và khắc phục các mối nguy hiểm về môi trường bằng cách sử dụng các ngành kỹ thuật khác nhau. Công việc có thể bao gồm xử lý chất thải, khắc phục hiện trường hoặc công nghệ kiểm soát ô nhiễm.","Kỹ sư xây dựng, Nhà khoa học"
Kỹ sư hàng hải và kiến trúc sư hải quân,"Thiết kế, phát triển và đánh giá hoạt động của tàu biển, máy móc tàu thủy và các thiết bị liên quan, chẳng hạn như hệ thống cung cấp điện và động cơ đẩy.",Kỹ sư xây dựng
Kỹ sư vật liệu,"Đánh giá vật liệu và phát triển máy móc cũng như quy trình để sản xuất vật liệu sử dụng trong các sản phẩm phải đáp ứng các thông số kỹ thuật về thiết kế và hiệu suất chuyên dụng. Phát triển các ứng dụng mới cho các vật liệu đã biết. Bao gồm những kỹ sư làm việc với vật liệu composite hoặc chuyên về một loại vật liệu, chẳng hạn như than chì, kim loại và hợp kim kim loại, gốm sứ và thủy tinh, nhựa và polyme cũng như các vật liệu tự nhiên. Bao gồm các nhà luyện kim và kỹ sư luyện kim, kỹ sư gốm sứ và kỹ sư hàn.",Nhà khoa học
Kỹ sư ô tô,"Phát triển các thiết kế mới hoặc cải tiến cho các bộ phận kết cấu, động cơ, hộp số hoặc hệ thống xe khác bằng cách sử dụng công nghệ thiết kế có sự hỗ trợ của máy tính. Trực tiếp chế tạo, sửa đổi hoặc thử nghiệm xe hoặc các bộ phận.",Nhà khoa học
Kỹ sư khai thác mỏ và địa chất,"Tiến hành khảo sát dưới bề mặt để xác định các đặc điểm của vùng đất tiềm năng hoặc các địa điểm phát triển khai thác mỏ. Có thể chỉ định các hệ thống, quy trình và thiết bị hỗ trợ mặt đất cho các hoạt động khai thác hoặc xây dựng ngầm an toàn, kinh tế và thân thiện với môi trường. Có thể kiểm tra các khu vực có điều kiện địa chất, thiết bị và điều kiện làm việc không an toàn. Có thể thiết kế, thực hiện và điều phối các chương trình an toàn mỏ.",Kỹ sư xây dựng
Kỹ sư năng lượng,"Thiết kế, phát triển hoặc đánh giá các dự án hoặc chương trình liên quan đến năng lượng để giảm chi phí năng lượng hoặc nâng cao hiệu quả sử dụng năng lượng trong các giai đoạn thiết kế, xây dựng hoặc tu sửa công trình. Có thể chuyên về hệ thống điện; hệ thống sưởi ấm, thông gió và điều hòa không khí (HVAC); công trình xanh; chiếu sáng; chất lượng không khí; hoặc mua sắm năng lượng.",Kỹ sư xây dựng
Kỹ sư cơ điện tử,"Nghiên cứu, thiết kế, phát triển hoặc thử nghiệm tự động hóa, hệ thống thông minh, thiết bị thông minh hoặc điều khiển hệ thống công nghiệp.","Kỹ sư phần mềm, Nhà khoa học"
Kỹ sư quang tử,Các công nghệ thiết kế chuyên về thông tin ánh sáng hoặc năng lượng ánh sáng như công nghệ laser hoặc sợi quang.,Nhà khoa học
Kỹ sư Robot,"Nghiên cứu, thiết kế, phát triển hoặc thử nghiệm các ứng dụng robot.","Kỹ sư phần mềm, Nhà khoa học"
Các nhà khoa học về đất và thực vật,"Tiến hành nghiên cứu về nhân giống, sinh lý học, sản xuất, năng suất và quản lý cây trồng và cây nông nghiệp hoặc cây cối, cây bụi và vườn ươm, sự phát triển của chúng trong đất và kiểm soát sâu bệnh; hoặc nghiên cứu thành phần hóa học, vật lý, sinh học và khoáng vật của đất vì chúng liên quan đến sự phát triển của cây trồng hoặc cây trồng. Có thể phân loại và lập bản đồ đất cũng như điều tra tác động của các biện pháp thay thế đối với năng suất đất và cây trồng.",Nhà khoa học
Nhà vi trùng học,"Điều tra sự tăng trưởng, cấu trúc, sự phát triển và các đặc điểm khác của các sinh vật cực nhỏ, chẳng hạn như vi khuẩn, tảo hoặc nấm. Bao gồm các nhà vi trùng học y tế nghiên cứu mối quan hệ giữa sinh vật và bệnh tật hoặc tác dụng của kháng sinh đối với vi sinh vật.","Nhà khoa học, Bác sĩ"
Nhà động vật học và nhà sinh vật học hoang dã,"Nghiên cứu nguồn gốc, hành vi, bệnh tật, di truyền và quá trình sống của động vật và động vật hoang dã. Có thể chuyên về nghiên cứu và quản lý động vật hoang dã. Có thể thu thập và phân tích dữ liệu sinh học để xác định các tác động môi trường của việc sử dụng đất và nước hiện tại và tiềm năng.",Nhà khoa học
Các nhà khoa học y tế,"Tiến hành nghiên cứu liên quan đến sự hiểu biết về bệnh tật của con người và cải thiện sức khỏe con người. Tham gia vào điều tra, nghiên cứu và phát triển lâm sàng hoặc các hoạt động liên quan khác.","Nhà khoa học, Bác sĩ"
Nhà tâm lý học thần kinh,"Áp dụng các lý thuyết và nguyên tắc của tâm lý học thần kinh để đánh giá và chẩn đoán các rối loạn chức năng não cao hơn, thường là trong môi trường nghiên cứu và y tế. Nghiên cứu bộ não con người và ảnh hưởng của các trạng thái sinh lý đến nhận thức và hành vi của con người. Có thể xây dựng và quản lý các chương trình điều trị.","Bác sĩ, Nhà khoa học"
Các nhà xã hội học,"Nghiên cứu xã hội loài người và hành vi xã hội bằng cách kiểm tra các nhóm và tổ chức xã hội mà con người hình thành, cũng như các tổ chức xã hội, tôn giáo, chính trị và kinh doanh khác nhau. Có thể nghiên cứu hành vi và sự tương tác của các nhóm, theo dõi nguồn gốc và sự phát triển của họ, đồng thời phân tích ảnh hưởng của các hoạt động nhóm đối với từng thành viên.","Nhà khoa học, Nghiên cứu mạng xã hội"
Nhà quy hoạch đô thị và khu vực,"Phát triển các kế hoạch và chương trình toàn diện về sử dụng đất đai và cơ sở vật chất của các khu vực pháp lý, chẳng hạn như thị trấn, thành phố, quận và khu vực đô thị.","Kỹ sư xây dựng, Nhà phát triển bất động sản"
Các nhà sử học,"Nghiên cứu, phân tích, ghi lại và giải thích quá khứ được ghi lại trong các nguồn, chẳng hạn như hồ sơ của chính phủ và tổ chức, báo chí và các tạp chí định kỳ khác, ảnh, cuộc phỏng vấn, phim, phương tiện điện tử và các bản thảo chưa xuất bản, chẳng hạn như nhật ký cá nhân và thư từ.","Nhà khoa học, Nhà văn"
Luật sư,"Đại diện cho khách hàng trong các vụ kiện hình sự, dân sự và các thủ tục pháp lý khác, soạn thảo các văn bản pháp luật hoặc quản lý hoặc tư vấn cho khách hàng về các giao dịch pháp lý. Có thể chuyên về một lĩnh vực duy nhất hoặc có thể hành nghề rộng rãi trong nhiều lĩnh vực luật.",Luật sư
"Trọng tài, hòa giải viên và hòa giải viên",Tạo điều kiện thuận lợi cho đàm phán và giải quyết xung đột thông qua đối thoại. Giải quyết xung đột bên ngoài hệ thống tòa án bằng sự đồng thuận của các bên liên quan.,"Luật sư, Viên chức nhà nước"
"Thẩm phán, Thẩm phán sơ thẩm và Thẩm phán","Trọng tài, tư vấn, xét xử hoặc quản lý công lý tại tòa án. Có thể kết án bị cáo trong các vụ án hình sự theo quy định của chính phủ hoặc hướng dẫn tuyên án. Có thể xác định trách nhiệm của bị đơn trong vụ án dân sự. Có thể cử hành lễ cưới.","Luật sư, Viên chức nhà nước"
Giáo viên Mẫu giáo,Dạy các kỹ năng học tập và xã hội cho học sinh mẫu giáo.,Giáo viên
Giáo viên Tiểu học,Dạy các kỹ năng học thuật và xã hội cho học sinh ở cấp tiểu học.,Giáo viên
Giáo viên Trung học Cơ sở,"Dạy một hoặc nhiều môn cho học sinh ở cấp trung học cơ sở, trung học cơ sở.",Giáo viên
Giáo viên dạy nghề/kỹ thuật,"Dạy các môn nghề, nghề, nghề, kỹ thuật cho học sinh ở cấp trung học cơ sở, trung cấp, trung học cơ sở.",Giáo viên
Giáo viên Trung học,Dạy một hoặc nhiều môn học cho học sinh ở cấp trung học cơ sở.,Giáo viên
Giám đốc nghệ thuật,"Xây dựng các khái niệm thiết kế và phương pháp trình bày cho các sản phẩm trực quan và phương tiện truyền thông, chẳng hạn như in ấn, phát sóng, video và phim. Công nhân trực tiếp tham gia vào tác phẩm nghệ thuật hoặc thiết kế bố cục.","Nghệ sĩ, Nhà thiết kế"
"Nghệ sĩ mỹ thuật, bao gồm họa sĩ, nhà điêu khắc và họa sĩ minh họa",Tạo tác phẩm nghệ thuật gốc bằng cách sử dụng bất kỳ phương tiện và kỹ thuật nào.,"Nghệ sĩ, Nhà thiết kế"
Nghệ sĩ và họa sĩ hoạt hình hiệu ứng đặc biệt,"Tạo các hiệu ứng hoặc hoạt ảnh đặc biệt bằng cách sử dụng phim, video, máy tính hoặc các công cụ và phương tiện điện tử khác để sử dụng trong các sản phẩm như trò chơi máy tính, phim ảnh, video ca nhạc và quảng cáo.","Nghệ sĩ, Nhà phát triển game"
Nhà thiết kế thời trang,Thiết kế quần áo và phụ kiện. Tạo các thiết kế ban đầu hoặc điều chỉnh xu hướng thời trang.,"Nhà thiết kế, Nghệ sĩ"
Nhà thiết kế đồ họa,"Thiết kế hoặc tạo đồ họa để đáp ứng các nhu cầu thương mại hoặc quảng cáo cụ thể, chẳng hạn như bao bì, trưng bày hoặc biểu trưng. Có thể sử dụng nhiều phương tiện khác nhau để đạt được hiệu quả nghệ thuật hoặc trang trí.","Nhà thiết kế, Nghệ sĩ"
Nhà thiết kế nội thất,"Lập kế hoạch, thiết kế và trang bị không gian bên trong của các phòng hoặc tòa nhà. Thiết kế môi trường nội thất hoặc tạo ra các bố cục vật lý thực tế, thẩm mỹ và có lợi cho các mục đích đã định. Có thể chuyên về một lĩnh vực, phong cách hoặc giai đoạn cụ thể của thiết kế nội thất.","Nhà thiết kế, Kỹ sư xây dựng"
Nhà sản xuất và đạo diễn,"Sản xuất hoặc chỉ đạo các sản phẩm sân khấu, truyền hình, đài phát thanh, video hoặc phim để giải trí, thông tin hoặc hướng dẫn. Chịu trách nhiệm về các quyết định sáng tạo, chẳng hạn như diễn giải kịch bản, lựa chọn diễn viên hoặc khách mời, thiết kế bối cảnh, âm thanh, hiệu ứng đặc biệt và vũ đạo.",Nghệ sĩ
Giám đốc/Quản lý kỹ thuật truyền thông,"Điều phối các hoạt động của các bộ phận kỹ thuật, chẳng hạn như ghi âm, biên tập, kỹ thuật và bảo trì để sản xuất các chương trình phát thanh hoặc truyền hình.","Nghiên cứu mạng xã hội, Nghệ sĩ"
Giám đốc âm nhạc và nhà soạn nhạc,"Chỉ huy, chỉ đạo, lập kế hoạch và chỉ đạo các buổi biểu diễn nhạc cụ hoặc giọng hát của các nghệ sĩ hoặc nhóm âm nhạc, chẳng hạn như dàn nhạc, ban nhạc, dàn hợp xướng và câu lạc bộ vui chơi; hoặc tạo ra các tác phẩm âm nhạc nguyên bản.",Nghệ sĩ
Nhạc sĩ và ca sĩ,"Chơi một hoặc nhiều nhạc cụ hoặc hát. Có thể biểu diễn trên sân khấu, phát sóng hoặc ghi âm hoặc quay video.",Nghệ sĩ
"Nhà thơ, nhà viết lời và nhà văn sáng tạo","Tạo các tác phẩm viết gốc, chẳng hạn như kịch bản, tiểu luận, văn xuôi, thơ hoặc lời bài hát, để xuất bản hoặc biểu diễn.","Nhà văn, Nghệ sĩ"
Nhiếp ảnh gia,"Chụp ảnh người, phong cảnh, hàng hóa hoặc các chủ đề khác. Có thể sử dụng thiết bị chiếu sáng để nâng cao diện mạo của đối tượng. Có thể sử dụng phần mềm chỉnh sửa để tạo ra hình ảnh và bản in hoàn chỉnh. Bao gồm các nhiếp ảnh gia thương mại và công nghiệp, nhiếp ảnh gia khoa học và phóng viên ảnh.",Nghệ sĩ
Biên tập phim và video,"Chỉnh sửa hình ảnh chuyển động trên phim, video hoặc phương tiện khác. Có thể làm việc với nhà sản xuất hoặc đạo diễn để sắp xếp hình ảnh cho sản phẩm cuối cùng. Có thể chỉnh sửa hoặc đồng bộ hóa nhạc phim với hình ảnh.","Nghệ sĩ, Nghiên cứu mạng xã hội"
Bác sĩ chỉnh nha,"Chẩn đoán, điều trị, phục hồi chức năng, thiết kế và lắp các bộ phận giả nhằm duy trì chức năng răng miệng, sức khỏe và vẻ ngoài cho những bệnh nhân có tình trạng lâm sàng liên quan đến răng, mô miệng và hàm mặt hoặc hàm.",Bác sĩ
Nhà trị liệu bức xạ,"Cung cấp liệu pháp xạ trị cho bệnh nhân theo chỉ định của bác sĩ ung thư bức xạ theo các tiêu chuẩn và thông lệ đã được thiết lập. Nhiệm vụ có thể bao gồm xem xét đơn thuốc và chẩn đoán; đóng vai trò liên lạc với bác sĩ và nhân viên chăm sóc hỗ trợ; chuẩn bị thiết bị, chẳng hạn như thiết bị cố định, điều trị và bảo vệ; và duy trì hồ sơ, báo cáo và tập tin. Có thể hỗ trợ các thủ tục đo liều và xác định vị trí khối u.",Bác sĩ
Y tá gây mê,"Tiến hành gây mê, theo dõi các dấu hiệu sinh tồn của bệnh nhân và giám sát quá trình phục hồi của bệnh nhân sau khi gây mê. Có thể hỗ trợ bác sĩ gây mê, bác sĩ phẫu thuật, bác sĩ khác hoặc nha sĩ. Phải là y tá đã đăng ký có trình độ học vấn sau đại học chuyên ngành.",Bác sĩ
Y tá hộ sinh,"Chẩn đoán và điều phối tất cả các khía cạnh của quá trình sinh nở, một cách độc lập hoặc là một phần của nhóm chăm sóc sức khỏe. Có thể cung cấp dịch vụ chăm sóc phụ khoa tốt cho phụ nữ. Phải có trình độ chuyên môn, tốt nghiệp điều dưỡng.",Bác sĩ
Bác sĩ gây mê,"Dùng thuốc gây mê và giảm đau để kiểm soát cơn đau trước, trong hoặc sau khi phẫu thuật.",Bác sĩ
Bác sĩ da liễu,"Chẩn đoán và điều trị các bệnh liên quan đến da, tóc, móng. Có thể thực hiện cả chức năng phẫu thuật y tế và da liễu.",Bác sĩ
Bác sĩ cấp cứu,"Đưa ra quyết định y tế ngay lập tức và hành động để ngăn ngừa tử vong hoặc tàn tật thêm. Cung cấp sự nhận biết, đánh giá, chăm sóc, ổn định và xử trí ngay lập tức cho bệnh nhân. Có thể chỉ đạo nhân viên y tế cấp cứu tại khoa cấp cứu.",Bác sĩ
Bác sĩ Nội tổng quát,Chẩn đoán và cung cấp phương pháp điều trị không phẫu thuật cho nhiều loại bệnh và chấn thương của hệ thống cơ quan nội tạng. Cung cấp dịch vụ chăm sóc chủ yếu cho người lớn và thanh thiếu niên và chủ yếu dựa vào môi trường chăm sóc ngoại trú.,Bác sĩ
Bác sĩ sản khoa và phụ khoa,"Cung cấp dịch vụ chăm sóc y tế liên quan đến việc mang thai hoặc sinh nở. Chẩn đoán, điều trị và giúp phòng ngừa các bệnh lý cho phụ nữ, đặc biệt là các bệnh ảnh hưởng đến hệ sinh sản. Cũng có thể cung cấp dịch vụ chăm sóc chung cho phụ nữ. Có thể thực hiện cả chức năng phẫu thuật y tế và phụ khoa.",Bác sĩ
Bác sĩ Y học Vật lý và Phục hồi chức năng,"Chẩn đoán và điều trị các rối loạn cần vật lý trị liệu để phục hồi thể chất, tinh thần và nghề nghiệp.",Bác sĩ
Bác sĩ chỉnh hình và chân tay giả,"Thiết kế, đo lường, lắp và điều chỉnh các nẹp chỉnh hình, thiết bị hoặc bộ phận giả, chẳng hạn như tay chân hoặc các bộ phận trên khuôn mặt cho bệnh nhân có tình trạng khuyết tật.",Bác sĩ
Cố vấn di truyền,"Đánh giá nguy cơ cá nhân hoặc gia đình đối với nhiều tình trạng di truyền khác nhau, chẳng hạn như rối loạn di truyền và dị tật bẩm sinh. Cung cấp thông tin cho các nhà cung cấp dịch vụ chăm sóc sức khỏe khác hoặc cho các cá nhân và gia đình có liên quan đến nguy cơ mắc các bệnh di truyền. Khuyên các cá nhân và gia đình hỗ trợ các phương pháp đưa ra quyết định và đối phó sáng suốt cho những người có nguy cơ. Có thể giúp tiến hành nghiên cứu liên quan đến tình trạng di truyền hoặc tư vấn di truyền.","Bác sĩ, Nhà khoa học"
lính cứu hỏa,"Kiểm soát và dập tắt đám cháy hoặc ứng phó với các tình huống khẩn cấp khi tính mạng, tài sản hoặc môi trường gặp nguy hiểm. Nhiệm vụ có thể bao gồm phòng chống cháy nổ, dịch vụ y tế khẩn cấp, ứng phó với vật liệu nguy hiểm, tìm kiếm cứu nạn và hỗ trợ thảm họa.",Viên chức nhà nước
Cảnh sát và nhân viên tuần tra của cảnh sát trưởng,"Duy trì trật tự và bảo vệ tính mạng và tài sản bằng cách thực thi các luật và pháp lệnh của địa phương, bộ lạc, tiểu bang hoặc liên bang. Thực hiện kết hợp các nhiệm vụ sau: tuần tra một khu vực cụ thể; giao thông trực tiếp; ban hành lệnh triệu tập giao thông; điều tra tai nạn; bắt giữ nghi phạm hoặc phục vụ các thủ tục pháp lý của tòa án. Bao gồm các sĩ quan cảnh sát làm việc tại các cơ sở giáo dục.",Viên chức nhà nước
Cảnh sát giao thông và đường sắt,"Bảo vệ và kiểm soát tài sản đường sắt và vận chuyển, nhân viên hoặc hành khách.",Viên chức nhà nước
Hướng dẫn du lịch,"Lập kế hoạch, tổ chức và thực hiện các chuyến du lịch đường dài, các chuyến tham quan và thám hiểm cho các cá nhân và nhóm.","Nghệ sĩ, Nghiên cứu mạng xã hội"
Đại lý bán bảo hiểm,"Bán bảo hiểm nhân thọ, tài sản, tai nạn, sức khỏe, ô tô hoặc các loại bảo hiểm khác. Có thể giới thiệu khách hàng đến các nhà môi giới độc lập, làm việc như một nhà môi giới độc lập hoặc được một công ty bảo hiểm tuyển dụng.","Nhân viên ngân hàng, Nhà đầu tư chứng khoán"
Môi giới bất động sản,"Điều hành văn phòng bất động sản hoặc làm việc cho công ty bất động sản thương mại, giám sát các giao dịch bất động sản. Các nhiệm vụ khác thường bao gồm bán bất động sản hoặc cho thuê tài sản và thu xếp các khoản vay.",Nhà phát triển bất động sản
Đại lý bán bất động sản,"Cho thuê, mua hoặc bán tài sản cho khách hàng. Thực hiện các nhiệm vụ như nghiên cứu danh sách bất động sản, phỏng vấn khách hàng tiềm năng, đi cùng khách hàng đến địa điểm bất động sản, thảo luận về các điều kiện bán hàng và soạn thảo hợp đồng bất động sản. Bao gồm các đại lý đại diện cho người mua.",Nhà phát triển bất động sản
Phi công thương mại,"Lái và điều hướng chuyến bay của máy bay cánh cố định trên các tuyến đường hàng không hoặc trực thăng không theo lịch trình. Yêu cầu chứng chỉ phi công thương mại. Bao gồm các phi công thuê chuyến có chứng nhận tương tự, và các phi công cứu thương trên không và du lịch trên không. Không bao gồm các phi công của hãng hàng không khu vực, quốc gia và quốc tế.",Viên chức nhà nước
"Thuyền trưởng, thuyền phó và hoa tiêu của tàu nước","Chỉ huy hoặc giám sát hoạt động của tàu thủy và tàu thủy như tàu kéo, phà. Bắt buộc phải có giấy phép do Cảnh sát biển Hoa Kỳ cấp.",Viên chức nhà nước
